model,id,n_tokens,doc_ppl
base,40d1e7ecbc6fa35aaa90461bc8a47406,1023,10.7854
base,a54d08ad5746f5f9bda21a76a214c7c2,1023,24.2061
base,12ed8f047f3d76780f3c18f302ba135d,1023,3.4756
base,8a78a12c44b2ad1909cbb4a0aa0202ac,1023,4.384
base,4b628daa0ea097f4a6f9c39fe7479846,1023,11.2982
base,2405bd90ac89065db607325959ba1f56,1023,5.5328
base,93761409cce2b4fb94f400bcb11492a8,1023,4.9156
base,801c4cba1480e9b53a2aacaa2cf177ea,381,6.5255
base,6381bdaa845a59efb03ca35f3b8c8b96,1023,6.2931
base,cbe1d53905e76d7bf7aca908f48f13b7,1023,9.0126
base,e172b60b2ee0ab8aa4fa2469ec0e9bdd,1023,8.1656
base,2b062e382f16d234f058df51a11b70c7,1023,3.047
base,03181041502e9356d6f3936792a6dc25,414,5.8211
base,565e746c266ea933bf369a34d975710d,288,5.485
base,3e00850accae9ebbacef6ac12ad6f709,395,5.3481
base,c0cc1513bd54931431408c1147f1a77e,1023,6.4571
base,439909fd5c818e96611e7b62bcb1ac83,1023,11.1116
base,4f241015e6ebd7bf971e7815d613e1d3,1023,12.1748
base,aec4d4cd214bbe3ea2bab83a99a7b0e8,1023,10.3427
base,3ac2efe4adaa471d8fb9af1253341a13,1023,7.3702
base,faef89e533142524ec29b6e2b1aa02ef,1023,4.0862
base,827e4b67cbfdff39ad5f80bc4815c3fb,1023,8.924
base,f514006f021290d74c800fb54564e054,908,5.4338
base,e5d2fd2199377045ce2ac2aa66253d8c,1023,3.8997
base,73b208dd133257627130648b2953de53,1023,12.8032
base,166bf3e7181c10570f8e56dbf8db5831,1023,9.0785
base,49fa30957820cc11fb4b0669b2dd47ee,1023,7.9706
base,402748974a764f9c6a914bb28508451c,1023,6.5188
base,12ae9ecdaba85aa5da8a137fe5c8f441,1023,9.8613
base,5a4b2e34681d0a6d180c0cbf842e93aa,245,10.9797
base,76b508b05c7a9f7ddbb95abf4c2c1af4,1023,4.9363
base,c835824758565fbd5e2fc9886298be69,869,4.6031
base,7ca6a7f8a28d701609ca92d37603a59c,1023,3.591
base,5738305d48a401fc0414c807b1ecdbd5,1023,11.1321
base,272f83b7283bfd7b26bd769c16bc0b7e,1023,15.8045
base,76a3d9a3288aab4f8167c6455005fa17,1023,6.5961
base,0b8084085d191eec232c272ca71c08c9,1023,9.7478
base,6259e6ef9c45d7b396b811665e426ff1,1023,5.1361
base,9a711fffcccab1df5ee0881273a02fc1,1023,8.3683
base,0050ec8c02466fa442c4c71049b7fc12,1023,5.7019
base,96addb8bf536f15a1c849f250ce7d662,1023,3.1867
base,00064d3122e841a290c9c34a7c8caf1a,1023,10.2985
base,04a972a0c75ec43ab6537cc663e8c643,1023,12.931
base,d6ac927efd9aa241b4ab382dd3e5ff77,1023,4.317
base,3d95f73b917467bd904d2060632cb697,1023,5.9758
base,cec0e4e6560a71e9b48c1c2711bd8b2c,1023,6.4504
base,5f3df74930a9822f451b4d506b103cf6,1023,4.1488
base,fd433a5ddbeff0aa5ad0235312bf66eb,1023,11.8406
base,3a4fc5bcd0da7a8b70d9bcf3e611f06d,1023,9.8469
base,d1814ae270ab9a81c99362bbc3dd0a22,1023,4.9657
base,b15974f0bc4cee016e77232ca035949f,1023,5.6174
base,5829fdf15cde2524f1cbeea1d3869ec1,1023,8.472
base,1e9c26fd46b5842445ab5e63c994d2dc,361,7.9618
base,1546fa7b5f58b4597f41a02278ef74f5,1023,3.89
base,2ff0a70be5a74a14f3db38afbe51480a,1023,3.9401
base,5c97488b5eaaef6b8847dd3b3367c45a,1023,10.273
base,5b8631fed7f00630e0e9fee9166727a2,854,4.4514
base,c0d694dd860b238a577050d472fcf015,431,7.4811
base,0c3fb0f2387d88bc3d7c15e5f736f10d,1023,3.3869
base,490683886b4762b0bf7c695d73447c8a,232,8.4635
base,f9576636054e5088e5d9731188710f44,924,5.6145
base,8a7f7e00ef8d510794df3fa9ee9b2835,370,14.2533
base,a3113f1cfce3bf8f754c83c2aaace584,1023,13.2517
base,26ab4065fcfdb3fb43b6bb4c258b9d83,1023,13.6098
base,b1363929f3f0b4448108b2a1736b4a35,1023,5.0877
base,bb597cd9670729eefd34fc3f58d61c00,1023,15.2177
base,79089143c72f167f39f8f8ec80cf23d8,1023,19.1524
base,f97b5965ba62964d347751682aaf1330,1023,6.0139
base,673dd5ef225f7ca6108e66768fba8884,1023,12.711
base,e7df538435a2d466043ac02eaeb3374f,1023,13.769
base,6ff5940ec4a4f9818f5afd7ce419f20e,1023,3.348
base,a9acf48b25e170adbcffc837642c11f8,366,8.7818
base,3e69277860579163cec842c94c33f818,1023,7.9928
base,3dab55c26d5903c789730b7be342491b,1023,7.7175
base,40c4e3abb35a065b1fae9f73f643114a,1023,5.9809
base,06a146bec4eb08cc76f7595d8ce13ff7,371,4.9964
base,898a7a522c1f2475b23d4cb8ff8a7f26,1023,9.9543
base,9275c0b64252451e5e5396ca2e9b1af8,1023,8.4489
base,fe127aff0da20623203254651749131d,1023,7.303
base,18d43e8853139cc1ec6111b6d8fff287,1023,8.8239
base,ed3f36d97d6b91a63c3278946467770f,1023,9.0291
base,d48413dd1e2dc622a83c9046f7146e0b,349,6.2749
base,be7cadf7f55febe21085c3c45a06a660,1023,10.1195
base,4251d0182019690f5350e3eab89504b9,1023,6.8471
base,330b616295cf4eebd96c39c3890a6040,1023,8.8039
base,1354766a2389568cb03e0b2f5e297b17,228,4.9304
base,2d0cb1df5abf18c4db11fa28a9dd46f5,363,7.7808
base,e3872fc9dd0bb53b295c830991bae2be,1023,5.7992
base,f9cbcb33af663d74dcae93bdb6bb0cab,1023,3.8251
base,e730d39097efc857726a3047e7c8325f,1023,8.9802
base,f3ccc41899a91d052aafe99df7f27c1e,1023,6.1519
base,f82ee2e6c37c1419c8599f77421c8417,1023,2.9665
base,4330cbe1c5eea5e7b89371fbdd359333,499,9.2257
base,377d04ea21c33e93b6978a38ca697638,192,10.537
base,6e594565356fcd6372887c865a170a11,338,5.8453
base,c1d5881007e2bac75bf358ca07697245,1023,5.2252
base,143bcdf64297b891049e5ca1fdd572cd,1023,10.8073
base,4569b91bdc907c53499edafa28ebc150,1023,3.0537
base,9cf307ea2cd8ad064df24e15e2b3f14d,801,4.4466
base,bce0bc7c6f0d9e00288bfa8a7f885e87,1023,4.441
base,feb25175a17a1df9e6dddabfe6088aa7,1023,5.4593
base,f7c0aae92c4123dee022c503951d4452,872,5.6843
base,5548390e10d5394f6d95814d7e32e1b8,1023,4.3399
base,b61c5d6451e7548dc3cdb2e8742ba9bd,560,7.2452
base,ec1bdf33080886e85c659e64df668687,1023,13.1465
base,af8cd10da179045dc571a1bd0b072d9c,306,81.605
base,08b906063d94a84a2d416daaba37eee1,1023,5.0351
base,54d66266c6e04e333e9adb59689e7004,1023,6.7582
base,12834d28db0e748159e391b893aa6ac8,821,7.6539
base,98b6a1f674be4061a8976d7b1edb32ce,1023,5.178
base,104c32c6eb802d760be4e3e8f2a650d7,1023,8.0246
base,3717c913b079692145fa37fb72292843,606,5.3453
base,8fe36acf65b75cf49d8d067c0009cb14,1023,6.7538
base,e56756a059718dea42e8b06205ca594a,1023,4.0238
base,ac955d8cd33597e7fab7f00c57907e6e,1023,8.5238
base,0b596e1211a61e768375c3082aeed506,1023,3.7409
base,26ad314eea53f4b8e51da9805fa375aa,575,4.7204
base,e715ef4626599aefd2606f457bb23078,1023,3.0474
base,32601833206be2e9497ed7e049300be7,425,6.4467
base,360363bb980cb588c2812969f7ae3e03,1023,8.2936
base,6f7be73036669a0dd5e77900e6a076a4,1023,3.4998
base,d118d40a1dc6b61adc874774bd841972,536,3.7727
base,28043b4766377792974cb0e144ec6f1f,1023,5.8626
base,5745fd43dc35eae9d1f50d65f4f2829f,1023,10.1696
base,f45c776f2dadd6dd28625a989dc12134,1023,4.8854
base,e01da959e243fac3b1b25b0cad83d0af,1023,3.8253
base,ddbc5eae5ac370d845819c04db87fc44,1023,5.9723
base,6fbdd41a8a8dfcdd2af4f0fe9fcee8d8,1023,6.4175
base,d9d8470f29495fc7eed44fe404a21cdc,1023,3.1164
base,ddb2b5850522ac779ee68cd5581d1e24,1023,8.817
base,90434ad8ebb1767773e8f4b730c28f3e,1023,3.9099
base,3b131cec9b047bc93934f8dabd5feb6a,1023,13.5561
base,3f7168997e4bf2942c7655e945bb138c,1023,6.3577
base,55636802c3afcc6100a4273bf9604439,377,7.2907
base,d12a200d2aac802dd63ba7970008db62,1023,5.1207
base,dfbcb7cae9141a061a9edeccab747fda,1023,7.8268
base,7f90e620e50c161f762d350b078e451b,1023,16.6169
base,cdbcaaafe3d485c7baf7e7bf87397067,417,17.9526
base,5a1271ff319caf10ec3dd3d4243f5a46,1023,4.7461
base,aefab259445e3075bea3d7f749bbee03,1023,8.6314
base,a1b395005039eae86263b18834de055f,1023,4.3441
base,8e0a74e2e7e18ff158365851a88f8dde,1023,7.1935
base,34fd8942d13328a6a73fc00930719854,1023,5.1796
base,0d66145318f63150d89edcc4f8cb4ff5,1023,7.3135
base,1d68c556d325686c8299ba5af365d64c,1023,13.5242
base,1ee91f5533f5ef5a527ebb37798ef231,1023,10.4966
base,377d77c4e94b4724d437844b9b736f70,1023,2.8724
base,77aeaf5b08fcce4bfce1241875fb2e83,1023,2.7272
base,46db919f73e586827a5097668d0e6aeb,1023,11.8232
base,126ae6b568810672d73b2b665b71b67a,1023,5.2759
base,1a291db04b068623fd98f1c9f369109c,715,5.7432
base,50f368deeb96871f9d312b360f3cf143,1023,4.5466
base,b9c9cb19b67519ba82a5ff1af7c23adc,359,7.7732
base,e5d30b0aa89d81be22952677435d06ac,1023,8.2639
base,2084b5b360eb78dc6d7bf0dc06abf05f,588,4.3647
base,f67f84d1b5f9231cd1f75d007e979406,1023,8.4635
base,f7dcef1959fd68e727736d7b5dc9b4dc,1023,3.793
base,89fc56f2e8a5d8e76a619603b9cb722f,1023,4.5661
base,8ac2c936932bc061c2de1e2f08bf9076,1023,4.5166
base,17e3a7d25d9050c393accec03dd1686e,316,7.8632
base,043e653c1dec830154dc7ccacfc80032,1023,5.1111
base,c881651bbd83b9b795578245107daec6,813,4.4476
base,ead0e7d8f26a978c4a546bc17b35d044,282,6.073
base,b94edc63c4b049969967f8743001e813,1023,14.5592
base,a442872c35e468c0a88163e8afb6badf,1023,4.0328
base,951dbf90fd44cae7f3929f7b0ca5d4fd,1023,6.6069
base,413f78cff88382671fc00c6b78676f9c,1023,4.7707
base,4ca378ddd827f0af0bd8026705ae6c71,1023,8.9838
base,abd1749dd046ad83662825e1c23be73a,1023,3.167
base,a7977bf5eeb32af20c989abaf03e3475,1023,8.6578
base,912c78e46e4e4ea41d2d817fc22643db,1023,6.6576
base,10bb3960a1a1cfd81f88890e0307b6e7,1023,2.7647
base,c37afaec792bfa11a0323ba540c218e8,1023,2.7784
base,4f760d78235b4d0b48f850d74dbc799b,377,6.3974
base,db03fa7dcf43899fb9203cfa3cf22cd8,1023,7.3655
base,6bb70450d06be4c37153ed8a9ba0002d,1023,6.7562
base,6cbed69e770e10d3b7a8d9a3caad5ef6,1023,4.6669
base,108de4e1d08a6913f155dda9691b715d,1023,5.3175
base,61475c0354f62ad4df66b40a51318fdf,1023,12.495
base,4e72de708528b862b19c09c875a383ca,711,8.8085
base,6da367c2a2634c9d52cf55cbbc772d74,762,5.6805
base,22ccecf40e90aaba24e70166d4e97f75,558,8.0991
base,8cd3593e30a9516fd9c9ce6d0767124b,1023,10.1555
base,7d817e58e2b8014728c444b9c3ea7c89,1023,2.5953
base,3d440244ae04ac862c79a87387635ec4,1023,4.5995
base,c4e7ca4a9d117b1e0011dd05bd923bd9,486,8.8876
base,1ec0f5b61c8b2bffdffa6083df3861be,1023,6.083
base,f9df7d41f42674606b6fbf6bcf7db451,1023,9.3813
base,4a70fcb22cc7e2790654fc7dbf6b972a,1023,7.937
base,d5ca6c997321bd18b88ed6001fb89b3b,1023,5.693
base,320efd155b6dacae8c6c9be9b4aecc4c,1023,4.9779
base,974b4cf1378a391769abeee75742070d,1023,7.0171
base,9fcae0ebec78172bb77bc3c8f9508671,1023,4.7832
base,4eb15c714b3232334bb5fe387050c1a8,1023,3.1176
base,5ad0153dde7311be3ba897ded80859b5,1023,8.7242
base,ec74fdfb6854c9896736998b18e31322,1023,4.139
base,6095dd6d951ef9221b049c9bdd67e8cc,1023,5.6992
base,97224ebe12d79c9d218e97c57378f0a2,403,6.2421
base,dfe6db3d0da3461ecb69088903ef5de4,1023,3.9155
base,080a3ed4094e3197375a6a9e1208832d,1023,5.7084
base,69963f86876139efe0eea205bb30fce1,1023,3.0391
base,4e1ed17b97e885bd601b02386435593e,1023,5.1895
base,fa47400dd6df9e61f213bf31700dd3fb,1023,2.9845
base,4f2226c44d8fabc58ad96af9dfe7eed4,308,8.048
base,db3cad81307d221c6223155ab69c0c68,1023,13.0081
base,314c1bfb8fa5c5eab3eb82b86be6924b,1023,11.2136
base,b74cb0c004db52ea39bf177d6f82993f,1023,7.2396
base,549a4a1d3776e1a6ad390a533db70945,1023,8.1598
base,06ff044e499de9817ff4cd172eb2c0a2,1023,11.8358
base,bfbe1239415c9895bfcd7a633cc3fd09,1023,12.0348
base,ba7d136df1c356bb2c17b9209ba76804,1023,6.0889
base,95e940fa0c9d0508bc3195a945159540,1023,13.0245
base,2e00ef1bc55d4e1e5c9600dba873670c,508,4.3045
base,68d6b025403c948db771c1ec41cdecfb,1005,5.9017
base,cedc726faa6a8220aeea17d4f24fbc78,611,4.4902
base,5bb94d548d85e2bf7b27c0801c130c64,1023,2.0371
base,65cd6f0cdeb2c08c6c619e54a882121a,371,5.0089
base,b4fd7ec7ce73267fd4920c89bc213604,1023,11.2775
base,f663af8bac3e07b9d8a4efddd7b25219,1023,4.9475
base,f3e0c3f3fc570b376c8de89a6f05899c,1023,10.3446
base,b5155232d023a13cd180ffed0b9eb75c,1023,10.8705
base,0a0605ec3d4ba6784660945301ded3fe,1023,8.1777
base,a14074caecb14112aeb1643415a395e5,1023,8.6012
base,49fff9f29c0a7b2e8a68efa778b90a5b,1009,5.6156
base,959724be0e494e32eda9d11ddec07e8f,1023,3.7772
base,bdf6f611ffbf26859e74968385286ab1,1023,6.7035
base,a2e13970ed4349d1287ebe12096ab331,1023,7.9397
base,c735cc864d2d8bf9d7c9533ae9a2b42b,1023,3.7415
base,4d55f916a5dc5be1eda38c1464ff6a37,1023,8.3896
base,72d0e71480b3c9d3f9bae8a7bf1a52b8,1023,4.0905
base,a353343b7876d8b1ba675e1fec9a1e22,1023,5.2387
base,d590ec96ec685885fc9cecd91aca951f,1023,16.0166
base,ab095bd390e929b371446396f1130077,569,9.9319
base,a28cdc26d6f5d4324bf1d8c77574d63a,1023,6.9367
base,9676396ae42effa4c6e325cca790dfa7,1023,4.636
base,0877720e47cc12554e0e57366724aabb,1023,4.6096
base,4c2b551ecbe969e96510011fb8c6c4d8,1023,6.7334
base,d24e854f0e05ec3152ab6e18ae3c61f1,1023,7.1166
base,04bd4c719f2d9839415e83774d763870,1023,13.6343
base,9cf048ae9ebe00e1790dc4b7111c79b5,1023,24.0757
base,8a496649f3bd7560f20677128b29f985,1023,6.3761
base,e216bbd5f5d0875672008c9a38b77923,1023,11.061
base,e20a07cc9f356ba36d6b6d396b49aae6,1023,3.5477
base,d242348d026a3fa66586c00b1a834268,1023,4.6552
base,2fed92b85baaf0b26338217270151781,847,10.1076
base,e92be2761473ecec52931d85dcd8552f,269,5.9708
base,8728e2697943293f23e75712cb30bc83,1023,5.1682
base,3c945a04ef7bdc02637e0f80e7da2e0e,1023,8.512
base,8e1194dad931b5baec485d0e2f6e899c,1023,11.3971
base,9da3abf363f90acd53eeecf543eaae42,1023,7.3024
base,cf2150683365c6f408d4b904ceed0e61,584,9.6448
base,f4e5d020fcb41a69df61578245588493,1023,9.3801
base,f059f41e87286dcb56da168144e86a03,514,6.5018
base,32861abebd666a221195d436bcfa8c94,1023,11.2284
base,7a72884cf8b256b0d2696091af73e275,1023,10.6363
base,794452a753f765316b63c566f1079ad5,1023,8.0615
base,aca40174fe8d04505622d8db652d735b,1023,15.2911
base,91c104b2c79afcf164f2b9b163a29c3e,1023,4.1193
base,f1893ed1ba9e41aaf54e98eee12882ea,673,7.0548
base,836d810f85454a83bf838411bed7fdcf,1023,6.5297
base,a5b8327f7b3e1d4a5f71d930f5c3d301,1023,26.2487
base,d8566f5bad5af49243e85c335c1589a9,1023,6.0843
base,9f66056dbedfc0db85a6cec482ed9f30,1023,5.9568
base,93a2250ab886693e010fae10cc8579a9,1023,4.107
base,34348ca6cc83ddb4228f3d98fd6f01e8,1023,12.4997
base,f402ec26d995e9828247f1adc0b73b7b,1023,13.2189
base,307d9c5dd305ffdb9f60366afe2da007,1023,8.9657
base,4229a1601bcfd9f2115670249ff8fe53,1023,1.6569
base,197740d047839f1b238b5be0d78c1a25,335,4.1017
base,1181b8b03ec4550bbdde8760183657c4,1023,3.1077
base,8fdb4e7839082c90369fadc6a9f6d974,1023,12.2414
base,526b707894077b07b6478a05f40995f7,1023,9.9566
base,ae468b234fc307d2d1356a25ade8dea9,1023,14.7196
base,2d9174882f662766b666ab100c88c36b,1023,6.8476
base,104af939c9f637c7c54426d9c8c65bc4,1023,3.5264
base,4bd4b40cd8ef900ef42c67e444d19297,911,4.5209
base,2791a49f23234dcf73a94da452f3b978,1023,3.3669
base,8082a49a8138a68731d322150907932b,1023,2.8297
base,8721c7dc3b61237b39f17da381ac9723,1023,8.9601
base,8d958c62bcec962d7c9b55f61ec5bbf5,1023,3.5265
base,f280a5be4118a8309cf43ede829cd31c,848,5.1835
